job_id,position,study_id,status,participant,iteration,level,title,Module,Sound1,Sound2,timestamp,aborted_trial,trial_correct,Position_Target,participant_name,response_to_first,time_rewardfortouch,response_time_delay_1,response_time_delay_2
1320,36,13,pending,099550000003293902,1,1,OMMTask4_4,Module 2,Coo_15_50.wav,Avg16.wav,2023-08-16 16:31:11,0,1,2,RACAILLE,0,1932380000,1000,301
1306,22,13,pending,099550000003293902,1,1,OMMTask4_4,Module 2,Coo_12_75.wav,Avg16.wav,2023-08-16 16:31:17,0,1,2,RACAILLE,0,1932385432,1000,295
1288,4,13,pending,099550000003293902,1,1,OMMTask4_4,Module 2,Coo_08_50.wav,Avg16.wav,2023-08-16 16:31:22,0,1,2,RACAILLE,0,1932390912,1000,163
1338,54,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_16_75.wav,Avg16.wav,2023-08-16 16:31:28,0,1,2,RACAILLE,0,1932396479,1000,505
1322,38,13,pending,099550000003293902,2,1,OMMTask4_4,Module3,Coo_15_75.wav,Avg16.wav,2023-08-16 16:33:18,0,1,2,RACAILLE,0,1932549018,1000,208
1325,41,13,pending,099550000003293902,2,1,OMMTask4_4,Module3,Avg16.wav,Coo_15_25.wav,2023-08-16 16:33:23,0,1,1,RACAILLE,1,NA,734,NA
1317,33,13,pending,099550000003293902,2,1,OMMTask4_4,Module3,Avg16.wav,Coo_15_25.wav,2023-08-16 16:33:27,0,1,1,RACAILLE,1,NA,728,NA
1323,39,13,pending,099550000003293902,2,1,OMMTask4_4,Module1,Avg16.wav,Coo_15.wav,2023-08-16 16:37:55,1,0,1,RACAILLE,0,NA,1000,1000
1323,39,13,pending,099550000003293902,3,1,OMMTask4_4,Module1,Avg16.wav,Coo_15.wav,2023-08-16 16:38:07,0,1,1,RACAILLE,1,NA,627,1000
1289,5,13,pending,099550000003293902,2,1,OMMTask4_4,Module1,Avg16.wav,Coo_08_75.wav,2023-08-16 16:38:12,0,1,1,RACAILLE,1,NA,698,NA
